Disease,Symptoms,Causes,Effects,Medicines,Doctor Name,Hospital Name,Specialist,Doctor Age,Doctor Location
Meniere?s Disease,"Vertigo, hearing loss, tinnitus, ear fullness",Inner ear fluid buildup,"Hearing loss, balance issues","Diuretics, anti-nausea drugs, lifestyle changes",Dr. Anil Gupta,Fortis Hospital,Otolaryngologist,51,"Mumbai, Maharashtra"
Bursitis,"Joint pain, swelling, tenderness",Inflammation of bursae (fluid-filled sacs),Pain and reduced joint mobility,"Rest, ice, NSAIDs, corticosteroid injections",Dr. Rina Sharma,Apollo Hospitals,Orthopedic Surgeon,48,"Delhi, Delhi"
Tendinitis,"Pain, swelling, tenderness in tendons",Overuse or injury to tendons,"Pain, reduced mobility","Rest, ice, NSAIDs, physical therapy",Dr. Ananya Patel,Max Healthcare,Orthopedic Surgeon,49,"Bangalore, Karnataka"
Tennis Elbow,"Pain on the outer elbow, weakness in the arm",Overuse of forearm muscles,"Pain, reduced arm function","Rest, physical therapy, corticosteroid injections",Dr. Rajesh Nair,Narayana Health,Orthopedic Surgeon,47,"Hyderabad, Telangana"
Carpal Tunnel Syndrome,"Numbness, tingling, pain in the hand/wrist",Compression of median nerve,"Hand weakness, pain, reduced grip strength","Wrist splints, corticosteroid injections, surgery",Dr. Sunil Kapoor,KIMS Hospital,Orthopedic Surgeon,50,"Gurgaon, Haryana"
Plantar Fasciitis,"Heel pain, arch pain, stiffness in the morning",Inflammation of the plantar fascia,"Pain, difficulty walking","Stretching exercises, orthotics, NSAIDs",Dr. Priya Gupta,Medanta - The Medicity,Podiatrist,46,"Delhi, Delhi"
Achilles Tendinitis,"Pain and swelling in the heel, stiffness",Overuse or injury to Achilles tendon,"Pain, difficulty walking or running","Rest, ice, physical therapy, corticosteroid injections",Dr. Nidhi Sharma,Fortis Hospital,Podiatrist,48,"Mumbai, Maharashtra"
Gastritis,"Abdominal pain, nausea, vomiting, loss of appetite",Inflammation of the stomach lining,"Digestive issues, discomfort","Antacids, antibiotics (for H. pylori), proton pump inhibitors",Dr. Anil Verma,Apollo Hospitals,Gastroenterologist,49,"Bangalore, Karnataka"
Peptic Ulcer Disease,"Burning stomach pain, bloating, nausea","H. pylori infection, NSAID use","Abdominal pain, bleeding, perforation","Proton pump inhibitors, antibiotics, antacids",Dr. Rina Kumar,Max Healthcare,Gastroenterologist,50,"Hyderabad, Telangana"
Crohn?s Disease,"Abdominal pain, diarrhea, weight loss, fatigue",Inflammation of the digestive tract,"Intestinal blockages, malnutrition","Anti-inflammatory drugs, immunosuppressants, surgery",Dr. Priya Rao,Narayana Health,Gastroenterologist,51,New Delhi
Ulcerative Colitis,"Abdominal pain, diarrhea with blood, weight loss",Inflammation of the colon,"Increased risk of colon cancer, anemia","Anti-inflammatory drugs, immunosuppressants, surgery",Dr. Anil Patel,KIMS Hospital,Gastroenterologist,48,"Gurgaon, Haryana"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea or constipation",Functional gastrointestinal disorder,"Discomfort, altered bowel habits","Fiber supplements, antispasmodics, dietary changes",Dr. Rajesh Gupta,AIIMS Delhi,Gastroenterologist,49,"Mumbai, Maharashtra"
Diverticulosis,Often asymptomatic; can lead to diverticulitis,Presence of diverticula in the colon,Can lead to diverticulitis,"High-fiber diet, pain management",Dr. Suresh Kumar,Fortis Hospital,Gastroenterologist,50,"Hyderabad, Telangana"
Gallstones,"Abdominal pain, nausea, vomiting, jaundice",Solid particles in the gallbladder,"Pain, digestive issues, potential for infection","Surgery (cholecystectomy), medications to dissolve stones",Dr. Ananya Sharma,Apollo Hospitals,General Surgeon,48,"Delhi, Delhi"
Cholecystitis,"Severe abdominal pain, fever, nausea, vomiting",Inflammation of the gallbladder,"Infection, digestive issues","Antibiotics, surgery (cholecystectomy)",Dr. Priya Patel,Max Healthcare,General Surgeon,49,"Mumbai, Maharashtra"
Pancreatitis,"Severe abdominal pain, nausea, vomiting, fever",Inflammation of the pancreas,"Digestive issues, potential for organ failure","Pain management, supportive care, treating underlying causes",Dr. Rajesh Sharma,Narayana Health,Gastroenterologist,50,"Bangalore, Karnataka"
Appendicitis,"Abdominal pain, nausea, vomiting, fever",Inflammation of the appendix,"Risk of rupture, infection","Surgery (appendectomy), antibiotics",Dr. Rina Kapoor,KIMS Hospital,General Surgeon,51,"Gurgaon, Haryana"
Celiac Disease,"Diarrhea, bloating, gas, weight loss",Autoimmune response to gluten,"Malabsorption, nutritional deficiencies","Gluten-free diet, nutritional supplements",Dr. Sunil Patel,AIIMS Delhi,Gastroenterologist,47,"Delhi, Delhi"
Asthma,"Wheezing, shortness of breath, chest tightness","Allergens, respiratory infections","Chronic respiratory issues, exacerbations","Inhalers, steroids, avoiding triggers",Dr. Ravi Sharma,Max Healthcare,Pulmonologist,50,"Delhi, Delhi"
Chronic Bronchitis,"Persistent cough, mucus production, wheezing","Smoking, air pollution","Respiratory infections, lung damage","Bronchodilators, steroids, smoking cessation",Dr. Ananya Patel,Apollo Hospitals,Pulmonologist,52,"Mumbai, Maharashtra"
Emphysema,"Shortness of breath, chronic cough, wheezing","Smoking, air pollution","Lung damage, respiratory failure","Bronchodilators, oxygen therapy, smoking cessation",Dr. Priya Gupta,Narayana Health,Pulmonologist,54,"Bangalore, Karnataka"
Chronic Obstructive Pulmonary Disease (COPD),"Shortness of breath, chronic cough, wheezing","Smoking, air pollution","Respiratory infections, heart problems","Bronchodilators, steroids, oxygen therapy",Dr. Rajesh Sharma,Fortis Hospital,Pulmonologist,55,"Hyderabad, Telangana"
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue",Lung tissue damage,"Lung scarring, respiratory failure","Antifibrotic medications, oxygen therapy",Dr. Anil Gupta,AIIMS Delhi,Pulmonologist,53,"Delhi, Delhi"
Pneumonia,"Cough, fever, chest pain, difficulty breathing","Bacterial, viral, or fungal infection","Respiratory failure, sepsis","Antibiotics, antivirals, supportive care",Dr. Sunil Kumar,Ruby Hall Clinic,Pulmonologist,48,"Pune, Maharashtra"
Tuberculosis (TB),"Persistent cough, weight loss, night sweats",Mycobacterium tuberculosis,"Lung damage, spread to other organs","Antibiotics (Isoniazid, Rifampin)",Dr. Suresh Nair,KIMS Hospital,Pulmonologist,50,"Gurgaon, Haryana"
Cystic Fibrosis,"Persistent cough, lung infections, digestive issues",Genetic mutation,"Lung damage, pancreatic insufficiency","CFTR modulators, supportive care",Dr. Priya Sharma,Medanta - The Medicity,Pulmonologist,47,"Delhi, Delhi"
Lung Cancer,"Persistent cough, chest pain, weight loss","Smoking, environmental factors","Metastasis, respiratory failure","Surgery, chemotherapy, radiation therapy",Dr. Ananya Sharma,Apollo Hospitals,Oncologist,55,"Mumbai, Maharashtra"
Mesothelioma,"Chest pain, shortness of breath, coughing",Asbestos exposure,"Respiratory failure, metastasis","Surgery, chemotherapy, radiation therapy",Dr. Rajesh Kumar,Fortis Hospital,Oncologist,56,"Bangalore, Karnataka"
Pulmonary Embolism,"Sudden shortness of breath, chest pain, coughing",Blood clots,"Respiratory failure, heart damage","Anticoagulants, thrombolytics, surgery",Dr. Priya Rao,AIIMS Delhi,Pulmonologist,49,"Hyderabad, Telangana"
Sleep Apnea,"Loud snoring, daytime sleepiness, choking during sleep",Obstructed airway during sleep,"Cardiovascular problems, hypertension","CPAP therapy, lifestyle changes",Dr. Sunil Gupta,Max Healthcare,Sleep Specialist,51,"Delhi, Delhi"
Narcolepsy,"Excessive daytime sleepiness, sudden muscle weakness",Neurological disorder,"Sleep attacks, impaired daytime function","Stimulants, antidepressants, lifestyle changes",Dr. Anil Sharma,Narayana Health,Neurologist,50,"Pune, Maharashtra"
Insomnia,Difficulty falling or staying asleep,"Stress, anxiety, lifestyle factors","Fatigue, impaired concentration","Cognitive behavioral therapy, medications",Dr. Rina Sharma,Ruby Hall Clinic,Sleep Specialist,47,"Mumbai, Maharashtra"
Restless Legs Syndrome (RLS),"Uncomfortable sensations in legs, urge to move",Neurological disorder,"Sleep disturbances, discomfort","Medications, lifestyle changes",Dr. Priya Patel,Fortis Hospital,Neurologist,49,"Bangalore, Karnataka"
Multiple Sclerosis,"Numbness, difficulty walking, vision problems",Autoimmune disorder,"Mobility issues, cognitive problems","Disease-modifying therapies, supportive care",Dr. Rajesh Nair,AIIMS Delhi,Neurologist,52,"Delhi, Delhi"
Parkinson?s Disease,"Tremors, rigidity, bradykinesia, postural instability",Neurological disorder,"Motor symptoms, cognitive decline","Medications, physical therapy",Dr. Ananya Rao,Medanta - The Medicity,Neurologist,54,"Hyderabad, Telangana"
Alzheimer?s Disease,"Memory loss, confusion, difficulty performing tasks",Neurological disorder,"Cognitive decline, behavioral changes","Medications, supportive care",Dr. Suresh Kumar,Max Healthcare,Neurologist,58,"Bangalore, Karnataka"
Huntington?s Disease,"Movement disorders, cognitive decline, psychiatric issues",Genetic disorder,"Motor symptoms, cognitive impairment","Supportive care, medications",Dr. Priya Gupta,KIMS Hospital,Neurologist,56,"Gurgaon, Haryana"
Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, difficulty speaking, swallowing",Neurodegenerative disorder,"Respiratory failure, mobility issues","Supportive care, medications",Dr. Anil Gupta,Apollo Hospitals,Neurologist,55,"Mumbai, Maharashtra"
Guillain-Barre Syndrome,"Rapid muscle weakness, tingling, paralysis",Autoimmune response to infection,"Respiratory failure, long-term weakness","Intravenous immunoglobulin, physical therapy",Dr. Rajesh Sharma,AIIMS Delhi,Neurologist,48,"Delhi, Delhi"
Myasthenia Gravis,"Muscle weakness, fatigue, difficulty swallowing",Autoimmune disorder,"Muscle weakness, respiratory issues","Anticholinesterase medications, immunosuppressants",Dr. Priya Rao,Medanta - The Medicity,Neurologist,49,"Hyderabad, Telangana"
Diabetes Mellitus Type 1,"High blood sugar, frequent urination, fatigue",Autoimmune destruction of insulin-producing cells,Long-term complications like neuropathy,"Insulin therapy, lifestyle changes",Dr. Ananya Sharma,Fortis Hospital,Endocrinologist,45,"Bangalore, Karnataka"
Diabetes Mellitus Type 2,"High blood sugar, fatigue, frequent infections",Insulin resistance,"Cardiovascular disease, neuropathy","Oral medications, insulin, lifestyle changes",Dr. Sunil Kumar,Max Healthcare,Endocrinologist,48,"Mumbai, Maharashtra"
Thyroiditis,"Fatigue, weight changes, neck pain",Inflammation of the thyroid gland,"Thyroid dysfunction, heart problems","Thyroid hormone replacement, anti-inflammatories",Dr. Priya Gupta,Apollo Hospitals,Endocrinologist,46,"Delhi, Delhi"
Hyperthyroidism,"Weight loss, rapid heartbeat, heat intolerance",Overactive thyroid gland,"Cardiovascular problems, bone loss","Antithyroid medications, radioactive iodine",Dr. Anil Sharma,Ruby Hall Clinic,Endocrinologist,47,"Pune, Maharashtra"
Hypothyroidism,"Weight gain, fatigue, cold intolerance",Underactive thyroid gland,"Cardiovascular problems, cognitive issues",Thyroid hormone replacement,Dr. Rajesh Kumar,Narayana Health,Endocrinologist,50,"Bangalore, Karnataka"
Addison?s Disease,"Fatigue, weight loss, low blood pressure",Adrenal insufficiency,"Adrenal crisis, electrolyte imbalances",Hormone replacement therapy,Dr. Suresh Kumar,AIIMS Delhi,Endocrinologist,49,"Delhi, Delhi"
Cushing?s Syndrome,"Weight gain, high blood pressure, skin changes",Excess cortisol production,"Cardiovascular problems, osteoporosis","Medications, surgery, radiation therapy",Dr. Priya Sharma,KIMS Hospital,Endocrinologist,51,"Gurgaon, Haryana"
Osteoporosis,"Bone pain, fractures, loss of height",Bone density loss,"Increased fracture risk, spinal deformities","Medications, calcium and vitamin D, lifestyle changes",Dr. Ananya Patel,Fortis Hospital,Rheumatologist,53,"Mumbai, Maharashtra"
Rheumatoid Arthritis,"Joint pain, stiffness, swelling, fatigue",Autoimmune disorder,"Joint deformity, systemic inflammation","Disease-modifying drugs, corticosteroids",Dr. Rajesh Sharma,Apollo Hospitals,Rheumatologist,54,"Delhi, Delhi"
Osteoarthritis,"Joint pain, stiffness, reduced range of motion",Degeneration of cartilage,"Joint pain, mobility issues","Pain management, physical therapy, surgery",Dr. Priya Rao,Max Healthcare,Rheumatologist,52,"Bangalore, Karnataka"
Gout,"Severe joint pain, redness, swelling",Uric acid crystal deposition,"Joint damage, recurrent attacks","Medications, dietary changes",Dr. Anil Gupta,AIIMS Delhi,Rheumatologist,48,"Hyderabad, Telangana"
Psoriasis,"Red patches of skin, itching, scaling",Autoimmune skin condition,"Skin discomfort, joint issues","Topical treatments, systemic medications",Dr. Suresh Kumar,Narayana Health,Dermatologist,46,"Delhi, Delhi"
Eczema,"Itchy, inflamed skin, rash","Allergic reaction, irritants","Skin infections, discomfort","Moisturizers, corticosteroids, antihistamines",Dr. Priya Patel,Medanta - The Medicity,Dermatologist,49,"Mumbai, Maharashtra"
Acne,"Pimples, blackheads, cysts","Hormonal changes, bacteria","Scarring, skin infections","Topical treatments, antibiotics, lifestyle changes",Dr. Ananya Sharma,Fortis Hospital,Dermatologist,47,"Bangalore, Karnataka"
Rosacea,"Redness, visible blood vessels, acne-like eruptions",Inflammation of the skin,"Skin irritation, discomfort","Topical treatments, lifestyle changes",Dr. Rajesh Kumar,AIIMS Delhi,Dermatologist,50,"Hyderabad, Telangana"
Vitiligo,"Loss of skin pigmentation, white patches",Autoimmune destruction of pigment cells,"Skin discoloration, psychological impact","Topical treatments, light therapy",Dr. Priya Gupta,Max Healthcare,Dermatologist,48,"Delhi, Delhi"
Alopecia Areata,Sudden hair loss in patches,Autoimmune disorder,"Complete hair loss, psychological impact","Topical treatments, corticosteroids",Dr. Anil Sharma,KIMS Hospital,Dermatologist,47,"Gurgaon, Haryana"
Systemic Lupus Erythematosus (SLE),"Joint pain, skin rash, fatigue",Autoimmune disorder,"Kidney damage, cardiovascular issues","Immunosuppressants, corticosteroids",Dr. Suresh Kumar,Apollo Hospitals,Rheumatologist,52,"Mumbai, Maharashtra"
Scleroderma,"Skin thickening, joint pain, digestive issues",Autoimmune disorder,"Skin and organ damage, impaired function","Immunosuppressants, supportive care",Dr. Priya Sharma,Fortis Hospital,Rheumatologist,53,"Bangalore, Karnataka"
Sjogren?s Syndrome,"Dry mouth, dry eyes, joint pain",Autoimmune disorder,"Dryness complications, oral issues","Artificial tears, saliva substitutes, immunosuppressants",Dr. Ananya Patel,AIIMS Delhi,Rheumatologist,49,"Delhi, Delhi"
Beh‡et?s Disease,"Mouth sores, genital sores, eye inflammation",Autoimmune disorder,"Skin lesions, eye problems","Corticosteroids, immunosuppressants",Dr. Anil Gupta,Ruby Hall Clinic,Rheumatologist,50,"Pune, Maharashtra"
Reactive Arthritis,"Joint pain, swelling, redness, often following infection",Post-infection autoimmune response,"Joint damage, recurrent pain","Nonsteroidal anti-inflammatory drugs (NSAIDs), antibiotics",Dr. Priya Rao,Narayana Health,Rheumatologist,48,"Hyderabad, Telangana"
Anemia,"Fatigue, weakness, pale skin",Low red blood cell count,"Fatigue, shortness of breath","Iron supplements, vitamin B12, treatment of underlying causes",Dr. Rajesh Sharma,AIIMS Delhi,Hematologist,46,"Delhi, Delhi"
Hemophilia,"Excessive bleeding, joint pain",Genetic bleeding disorder,"Hemorrhage, joint damage","Clotting factor replacement, supportive care",Dr. Ananya Sharma,Max Healthcare,Hematologist,47,"Mumbai, Maharashtra"
Leukemia,"Fatigue, frequent infections, easy bruising",Cancer of blood-forming tissues,"Bone marrow failure, anemia","Chemotherapy, radiation therapy, stem cell transplant",Dr. Priya Gupta,Apollo Hospitals,Hematologist,48,"Bangalore, Karnataka"
Lymphoma,"Swollen lymph nodes, weight loss, night sweats",Cancer of the lymphatic system,"Organ damage, immune system issues","Chemotherapy, radiation therapy, targeted therapy",Dr. Anil Gupta,Fortis Hospital,Oncologist,49,"Hyderabad, Telangana"
Multiple Myeloma,"Bone pain, anemia, kidney problems",Cancer of plasma cells,"Bone damage, kidney failure","Chemotherapy, targeted therapy, stem cell transplant",Dr. Rajesh Kumar,Medanta - The Medicity,Oncologist,50,"Delhi, Delhi"
Endometriosis,"Painful periods, pelvic pain, infertility",Tissue similar to the uterine lining grows outside the uterus,"Infertility, chronic pain","Pain management, hormonal therapy, surgery",Dr. Priya Sharma,Max Healthcare,Gynecologist,47,"Bangalore, Karnataka"
Polycystic Ovary Syndrome (PCOS),"Irregular periods, acne, weight gain",Hormonal imbalance,"Infertility, diabetes, cardiovascular issues","Hormonal therapy, lifestyle changes",Dr. Ananya Patel,AIIMS Delhi,Gynecologist,46,"Delhi, Delhi"
Fibroids,"Heavy menstrual bleeding, pelvic pain, frequent urination",Noncancerous growths in the uterus,"Pain, heavy bleeding","Medications, surgery",Dr. Sunil Kumar,Narayana Health,Gynecologist,49,"Hyderabad, Telangana"
Ovarian Cancer,"Abdominal bloating, pelvic pain, changes in menstruation",Cancer of the ovaries,"Metastasis, abdominal issues","Surgery, chemotherapy, radiation therapy",Dr. Priya Rao,Fortis Hospital,Oncologist,50,"Mumbai, Maharashtra"
Cervical Cancer,"Abnormal bleeding, pelvic pain, pain during intercourse",Cancer of the cervix,"Metastasis, reproductive issues","Surgery, chemotherapy, radiation therapy",Dr. Anil Gupta,Apollo Hospitals,Oncologist,48,"Delhi, Delhi"
Breast Cancer,"Lump in the breast, changes in breast shape, discharge",Cancer of the breast,"Metastasis, lymph node involvement","Surgery, chemotherapy, radiation therapy",Dr. Rajesh Sharma,Medanta - The Medicity,Oncologist,52,"Bangalore, Karnataka"
Prostate Cancer,"Difficulty urinating, pelvic pain, blood in urine",Cancer of the prostate gland,"Metastasis, urinary issues","Surgery, radiation therapy, hormone therapy",Dr. Priya Patel,Fortis Hospital,Urologist,53,"Mumbai, Maharashtra"
Testicular Cancer,"Lump in the testicle, pain, swelling",Cancer of the testicles,"Metastasis, reproductive issues","Surgery, chemotherapy, radiation therapy",Dr. Ananya Sharma,AIIMS Delhi,Urologist,48,"Delhi, Delhi"
Kidney Stones,"Severe pain in back/side, blood in urine, frequent urination",Solid mineral deposits in the kidneys,"Pain, urinary tract infections","Pain management, hydration, medications, surgery",Dr. Rajesh Kumar,Narayana Health,Urologist,50,"Bangalore, Karnataka"
Bladder Cancer,"Blood in urine, frequent urination, pelvic pain",Cancer of the bladder,"Metastasis, urinary issues","Surgery, chemotherapy, radiation therapy",Dr. Priya Rao,Fortis Hospital,Urologist,49,"Hyderabad, Telangana"
Prostatitis,"Painful urination, pelvic pain, flu-like symptoms",Inflammation of the prostate,"Pain, urinary issues","Antibiotics, anti-inflammatory drugs",Dr. Sunil Kumar,Max Healthcare,Urologist,47,"Mumbai, Maharashtra"
Erectile Dysfunction,Difficulty achieving/maintaining erection,"Vascular, neurological, psychological causes","Relationship issues, self-esteem problems","Medications, therapy, lifestyle changes",Dr. Rajesh Sharma,AIIMS Delhi,Urologist,48,"Delhi, Delhi"
Benign Prostatic Hyperplasia (BPH),"Frequent urination, difficulty starting urination",Enlarged prostate gland,"Urinary obstruction, bladder issues","Medications, minimally invasive procedures",Dr. Priya Gupta,Narayana Health,Urologist,49,"Bangalore, Karnataka"
Testicular Torsion,"Sudden, severe testicular pain, swelling",Twisting of the testicle,"Testicular damage, infertility",Surgery,Dr. Anil Gupta,Apollo Hospitals,Urologist,48,"Mumbai, Maharashtra"
Hydronephrosis,"Pain, urinary issues, swelling in the flank",Swelling of a kidney due to urine buildup,"Kidney damage, urinary tract infections","Treat underlying cause, surgery if needed",Dr. Suresh Kumar,Fortis Hospital,Urologist,50,"Delhi, Delhi"
Herpes Simplex,"Painful sores, itching, flu-like symptoms",Herpes simplex virus,"Recurring sores, discomfort","Antiviral medications, pain management",Dr. Priya Sharma,Max Healthcare,Dermatologist,46,"Bangalore, Karnataka"
Human Papillomavirus (HPV) Infection,"Genital warts, throat warts, cervical changes",HPV virus,"Cervical cancer, genital cancers","Vaccination, topical treatments, monitoring",Dr. Ananya Patel,AIIMS Delhi,Dermatologist,47,"Delhi, Delhi"
HIV/AIDS,"Weak immune system, weight loss, frequent infections",Human Immunodeficiency Virus,"Opportunistic infections, immune system collapse","Antiretroviral therapy, supportive care",Dr. Rajesh Sharma,Medanta - The Medicity,Infectious Disease Specialist,49,"Hyderabad, Telangana"
Hepatitis B,"Jaundice, abdominal pain, dark urine",Hepatitis B virus,"Liver damage, cirrhosis, liver cancer","Antiviral medications, liver monitoring",Dr. Priya Gupta,Max Healthcare,Infectious Disease Specialist,48,"Mumbai, Maharashtra"
Hepatitis C,"Fatigue, jaundice, abdominal pain",Hepatitis C virus,"Liver damage, cirrhosis, liver cancer","Antiviral medications, liver monitoring",Dr. Anil Sharma,Apollo Hospitals,Infectious Disease Specialist,50,"Bangalore, Karnataka"
Hepatitis D,"Jaundice, abdominal pain, weakness",Hepatitis D virus,"Liver damage, cirrhosis","Antiviral medications, hepatitis B treatment",Dr. Rajesh Kumar,AIIMS Delhi,Infectious Disease Specialist,47,"Delhi, Delhi"
Hepatitis E,"Jaundice, nausea, abdominal pain",Hepatitis E virus,"Liver damage, complications in pregnancy","Supportive care, monitoring",Dr. Suresh Kumar,Narayana Health,Infectious Disease Specialist,46,"Hyderabad, Telangana"
Tuberculosis (TB),"Persistent cough, night sweats, weight loss",Mycobacterium tuberculosis,"Lung damage, systemic spread",Antitubercular therapy,Dr. Priya Rao,Ruby Hall Clinic,Pulmonologist,50,"Pune, Maharashtra"
Lyme Disease,"Fever, rash, fatigue, joint pain",Borrelia burgdorferi bacteria,"Chronic joint problems, neurological issues",Antibiotics,Dr. Ananya Sharma,Fortis Hospital,Infectious Disease Specialist,48,"Delhi, Delhi"
Malaria,"Fever, chills, headache, sweating",Plasmodium parasites transmitted by mosquitoes,"Severe anemia, organ failure",Antimalarial medications,Dr. Rajesh Sharma,Medanta - The Medicity,Infectious Disease Specialist,50,"Bangalore, Karnataka"
Dengue Fever,"High fever, rash, severe headache",Dengue virus,"Dengue hemorrhagic fever, organ failure","Supportive care, fluids, pain management",Dr. Priya Gupta,Narayana Health,Infectious Disease Specialist,47,"Hyderabad, Telangana"
Typhoid Fever,"Prolonged fever, abdominal pain, weakness",Salmonella typhi bacteria,"Intestinal bleeding, perforation","Antibiotics, supportive care",Dr. Anil Gupta,Max Healthcare,Infectious Disease Specialist,48,"Mumbai, Maharashtra"
Schistosomiasis,"Abdominal pain, diarrhea, liver damage",Parasitic infection,"Liver damage, urinary tract issues","Antiparasitic medications, supportive care",Dr. Rajesh Kumar,Apollo Hospitals,Infectious Disease Specialist,49,"Delhi, Delhi"
Leptospirosis,"Fever, muscle pain, jaundice",Bacterial infection from water or soil,"Liver damage, kidney damage","Antibiotics, supportive care",Dr. Suresh Kumar,Fortis Hospital,Infectious Disease Specialist,50,"Bangalore, Karnataka"
Tetanus,"Muscle stiffness, difficulty swallowing, fever",Bacterial toxin from Clostridium tetani,"Muscle spasms, respiratory issues","Tetanus antitoxin, antibiotics, supportive care",Dr. Priya Rao,AIIMS Delhi,Infectious Disease Specialist,48,"Delhi, Delhi"
Botulism,"Muscle weakness, difficulty swallowing, blurred vision",Botulinum toxin poisoning,"Respiratory failure, paralysis","Antitoxin administration, supportive care",Dr. Ananya Patel,Ruby Hall Clinic,Infectious Disease Specialist,47,"Pune, Maharashtra"
Rabies,"Fever, headache, confusion, hydrophobia",Rabies virus,"Encephalitis, death","Post-exposure prophylaxis, supportive care",Dr. Rajesh Sharma,Max Healthcare,Infectious Disease Specialist,49,"Mumbai, Maharashtra"
Chickenpox,"Itchy rash, fever, fatigue",Varicella-zoster virus,"Bacterial infections, complications in pregnancy","Antiviral medications, supportive care",Dr. Priya Sharma,Medanta - The Medicity,Pediatrician,46,"Bangalore, Karnataka"
Shingles,"Painful rash, blisters, burning sensation",Reactivation of varicella-zoster virus,"Postherpetic neuralgia, eye problems","Antiviral medications, pain management",Dr. Anil Gupta,AIIMS Delhi,Dermatologist,48,"Delhi, Delhi"
Whooping Cough,"Severe cough, whooping sound, vomiting",Bordetella pertussis bacteria,"Respiratory issues, complications in infants","Antibiotics, supportive care",Dr. Rajesh Kumar,Fortis Hospital,Pediatrician,47,"Hyderabad, Telangana"
Measles,"Rash, high fever, cough, runny nose",Measles virus,"Pneumonia, encephalitis","Vaccination, supportive care",Dr. Priya Rao,Narayana Health,Pediatrician,50,"Bangalore, Karnataka"
Mumps,"Swollen salivary glands, fever, headache",Mumps virus,"Meningitis, orchitis, hearing loss","Vaccination, supportive care",Dr. Ananya Sharma,Max Healthcare,Pediatrician,48,"Mumbai, Maharashtra"
Rubella,"Rash, fever, joint pain",Rubella virus,"Birth defects, arthritis","Vaccination, supportive care",Dr. Suresh Kumar,Apollo Hospitals,Pediatrician,47,"Delhi, Delhi"
Polio,"Muscle weakness, paralysis, fever",Poliovirus,"Permanent paralysis, respiratory issues","Vaccination, supportive care",Dr. Priya Patel,Medanta - The Medicity,Pediatrician,46,"Gurgaon, Haryana"
Tuberculosis (TB),"Persistent cough, night sweats, weight loss",Mycobacterium tuberculosis,"Lung damage, systemic spread",Antitubercular therapy,Dr. Sunil Kumar,Ruby Hall Clinic,Pulmonologist,51,"Pune, Maharashtra"
Asbestosis,"Shortness of breath, persistent cough",Asbestos exposure,"Lung scarring, respiratory issues","Supportive care, avoidance of further exposure",Dr. Rajesh Sharma,AIIMS Delhi,Pulmonologist,52,"Delhi, Delhi"
Silicosis,"Cough, shortness of breath, lung damage",Silica dust exposure,"Lung fibrosis, respiratory failure","Supportive care, avoidance of further exposure",Dr. Ananya Patel,Fortis Hospital,Pulmonologist,50,"Bangalore, Karnataka"
Emphysema,"Shortness of breath, chronic cough",Chronic obstructive pulmonary disease (COPD),"Lung damage, respiratory failure","Medications, oxygen therapy, lifestyle changes",Dr. Priya Rao,Max Healthcare,Pulmonologist,47,"Mumbai, Maharashtra"
Chronic Bronchitis,"Persistent cough, mucus production, shortness of breath",Chronic inflammation of the bronchial tubes,"Respiratory issues, increased risk of infection","Medications, lifestyle changes",Dr. Suresh Kumar,Narayana Health,Pulmonologist,49,"Hyderabad, Telangana"
Asthma,"Wheezing, shortness of breath, chest tightness",Inflammation of the airways,"Respiratory issues, exercise limitations","Inhalers, medications, lifestyle changes",Dr. Ananya Sharma,AIIMS Delhi,Pulmonologist,48,"Delhi, Delhi"
Cystic Fibrosis,"Persistent cough, lung infections, digestive problems",Genetic disorder affecting lungs and pancreas,"Lung damage, digestive issues","Medications, physiotherapy, nutritional support",Dr. Rajesh Sharma,Medanta - The Medicity,Pulmonologist,50,"Bangalore, Karnataka"
Sarcoidosis,"Fatigue, shortness of breath, swollen lymph nodes","Inflammation of organs, often lungs","Lung damage, systemic issues","Medications, supportive care",Dr. Priya Sharma,Fortis Hospital,Pulmonologist,51,"Delhi, Delhi"
Interstitial Lung Disease (ILD),"Persistent cough, shortness of breath, fatigue",Group of lung diseases affecting interstitium,"Lung fibrosis, respiratory issues","Medications, oxygen therapy",Dr. Anil Gupta,Max Healthcare,Pulmonologist,49,"Mumbai, Maharashtra"
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue",Lung scarring,"Progressive lung damage, respiratory failure","Medications, oxygen therapy",Dr. Suresh Kumar,Apollo Hospitals,Pulmonologist,50,"Hyderabad, Telangana"
Pulmonary Embolism,"Sudden shortness of breath, chest pain, cough",Blood clot in the lungs,"Respiratory issues, cardiovascular problems","Anticoagulants, supportive care",Dr. Priya Rao,Ruby Hall Clinic,Pulmonologist,49,"Bangalore, Karnataka"
Acute Respiratory Distress Syndrome (ARDS),"Severe shortness of breath, low blood oxygen",Severe inflammation in the lungs,"Respiratory failure, organ damage","Mechanical ventilation, supportive care",Dr. Ananya Sharma,Fortis Hospital,Pulmonologist,50,"Delhi, Delhi"
